"","ctrl_g1","taz_g1","ctrl_g2","taz_g2","ctrl_g3","taz_g3","ctrl_g4","taz_g4","ctrl_g5","taz_g5","ctrl_g6","taz_g6","ctrl_g7","taz_g7","ctrl_g8","taz_g8"
"PON3",0,0,1.96891809857132,0,1.95470486670989,0.984725274573314,0,0,0,1.83549789606991,0,4.03395426741341,0,3.18220458641538,0,0
"POP1",27.6655266266682,24.8199526836134,26.5803943307129,31.5496707644962,33.2299827340681,27.5723076880528,24.4566218061179,20.2956633528516,29.9384012461236,34.8744600253283,19.8479847330551,29.2461684387472,24.4107827655644,36.0649853127077,25.7745173105637,28.8442230527884
"POP4",33.5938537609543,29.5930205073852,18.7047219364276,23.1982873268355,25.4111632672286,21.6639560406129,26.4131515506073,32.8596454284264,27.1316761292995,25.6969705449788,27.7871786262771,33.2801227061606,24.4107827655644,48.7938036583692,31.960401465099,36.0552788159855
"POP5",11.8566542685721,19.0922712950872,8.86013144357095,8.35138343766077,8.7961719001945,4.92362637286657,16.6305028281602,14.496902394894,8.42017535047227,15.6017321165943,7.93919389322202,8.06790853482682,19.1040908600069,22.2754321049077,13.4027490014931,11.3316590564526
"POP7",7.90443617904806,16.2284306008241,21.6580990842845,19.4865613545418,13.6829340669692,12.8014285694531,18.5870325726496,18.3627430335324,7.48460031153091,22.9437237008739,13.8935893131385,23.1952370376271,15.9200757166725,23.3361669670461,17.5266717711833,22.6633181129051
"POPDC2",0,0,0,0,0,0,0,0.9664601596596,0,0,0,0,2.12267676222299,0,0,0
"POPDC3",21.7371994923822,5.72768138852616,9.84459049285661,4.63965746536709,10.7508767669044,12.8014285694531,14.6739730836707,7.7316812772768,7.48460031153091,8.25974053231461,19.8479847330551,11.0933742353869,20.1654292411184,16.9717577942154,13.4027490014931,10.3015082331387
"POR",18.7730359252391,23.865339118859,7.87567239428529,30.6217392714228,11.7282292002593,29.5417582371994,17.6087677004049,22.2285836721708,14.0336255841205,22.9437237008739,9.92399236652753,25.2122141713338,14.858737335561,21.2146972427692,14.4337296939157,17.5125639963358
"PORCN",15.8088723580961,20.0468848598416,11.8135085914279,12.9910409030279,16.6149913670341,20.6792307660396,7.82611897795773,11.5975219159152,14.9692006230618,14.6839831685593,15.878387786444,16.1358170696536,16.981414097784,22.2754321049077,23.7125559257186,20.6030164662774
"POT1",42.4863444623833,28.6384069426308,26.5803943307129,33.4055337506431,19.5470486670989,29.5417582371994,31.3044759118309,36.7254860670648,24.3249510124755,36.7099579213982,29.7719770995826,29.2461684387472,19.1040908600069,23.3361669670461,19.5886331560284,31.93467552273
