"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GAD1",8.08614307264804,-0.456872342850002,0.344058637191907,-1.32789092748505,0.184214142322604,0.380435099278734
"GADD45A",91.0148829160711,-2.31344277071745,0.3431844055144,-6.74110691961606,1.57184480475147e-11,6.94390249144098e-10
"GADD45B",30.9609104523267,-1.06969460704237,0.241665644386895,-4.42634123586818,9.58448652579416e-06,0.000122706184506431
"GADD45G",0.060403759978725,0.342134923746382,3.06038250977364,0.111794823899869,0.910986091726001,NA
"GADD45GIP1",37.3040033023969,-0.393293490204727,0.182870502810893,-2.15066664201954,0.0315025211183066,0.108889660791995
"GADL1",0.061084527084684,-0.379204151480189,3.06038250977364,-0.123907436495001,0.901388564855365,NA
"GAGE10",0.0630305354283345,0.342134923746382,3.06038250977364,0.111794823899869,0.910986091726001,NA
"GAK",36.1610993679087,0.0658402825878007,0.172176900871955,0.382399045716156,0.70216539809921,0.843490155449056
"GAL",1.34556639054463,1.08633320128976,0.816276246078752,1.33084014940814,0.183241613981434,0.379103625347995
"GAL3ST4",0.559036713497216,-0.35147743791408,1.31562101440295,-0.267157056679873,0.789348238579436,0.897989577424822
"GALC",31.6250685985623,0.132806074208868,0.168387969470081,0.788690989188898,0.430292635731088,0.644394215892526
"GALE",37.6877617161586,0.0503737513544372,0.147446990969562,0.341639737936979,0.732622028098878,0.862954380067581
"GALK1",10.1651418341401,0.529438026215329,0.295715397839073,1.79036340374621,0.0733955095302877,0.202501566851159
"GALK2",7.57164838141229,-0.226248016950592,0.339929139720886,-0.665574057982682,0.505683392583136,0.703757934443317
"GALM",13.3452588801831,-0.451526483883815,0.26276934960903,-1.71833771539807,0.0857350338640044,0.226031686923376
"GALNS",10.6316326176009,0.317663397865682,0.271548065299267,1.16982383032482,0.242071871597537,0.45373763290527
"GALNT1",101.374080691755,0.0205147062982161,0.111237744485422,0.184422170668021,0.853682278431646,0.925074947247794
"GALNT10",138.769230648691,0.0147767851001402,0.0923758589621778,0.159963709849674,0.872909661384222,0.935591057997614
"GALNT11",32.7637795907546,0.706332370327742,0.16295553682131,4.334509793934,1.46085284873118e-05,0.000177528159673304
"GALNT12",6.94014170942196,-0.565621385148968,0.345606144981676,-1.63660685251692,0.101712642892326,0.254933729105961
"GALNT13",7.47862913789635,0.0565395925023031,0.363654365842335,0.155476182367122,0.876445929323155,0.937081402707762
"GALNT14",8.35344139727496,-1.70568483028529,0.351790140124156,-4.84858623292655,1.2434447619099e-06,1.99037213446201e-05
"GALNT16",0.424778014636273,-1.05763112959188,1.34146488308142,-0.788415069921501,0.430453958804173,NA
"GALNT18",18.6870016000751,0.693346022269949,0.220022604624587,3.15124904303795,0.00162573804337736,0.0102044290212533
"GALNT2",175.314990826595,0.460231137310343,0.0817499632105429,5.62974121621365,1.80480203767835e-08,4.26695786693359e-07
"GALNT3",37.8602274681051,-0.272727743861637,0.160362458210445,-1.70069570462517,0.0890001421252544,0.231908368834825
"GALNT4",0.430752382919615,-0.385378642243879,1.46106617020888,-0.263765358545523,0.79196072938008,0.899534306907908
"GALNT5",32.8741300903966,-0.246770581915135,0.167690315047104,-1.47158517679341,0.141132930843833,0.31956978526774
"GALNT6",21.5085384219905,-1.117729134858,0.211708332486677,-5.27957082146656,1.29486823686576e-07,2.56716877017471e-06
"GALNT7",72.1325007134269,0.54698689569657,0.131458069952532,4.16092291552797,3.16964066736811e-05,0.000351624885545441
"GALR2",0.061084527084684,-0.379204151480189,3.06038250977364,-0.123907436495001,0.901388564855365,NA
"GALT",14.6730006508826,-0.0503792928919147,0.258541502532294,-0.194859596615913,0.845502865049151,0.921244308797371
"GAMT",15.7181070760806,0.64233492767403,0.228608011079733,2.80976560987619,0.00495775915699065,0.025252360243312
"GAN",11.5377567597083,0.437310639294622,0.275279719626343,1.58860463781427,0.112149680479113,0.274203435960606
"GANAB",460.697516932857,0.0390318913643691,0.0514157943049085,0.759142047536992,0.447767588677912,0.657455433057007
"GANC",11.2715030380918,-0.128527779090706,0.27015241464835,-0.475760245408158,0.634245195032555,0.799023113490831
"GAP43",0.0663336488194686,-0.379204151480189,3.06038250977364,-0.123907436495001,0.901388564855365,NA
"GAPDH",1921.34035623148,0.214966980695719,0.0647821558697848,3.31830544707115,0.000905653887020152,0.00630957060445063
"GAPDHP1",0.920770325152171,1.43000402489006,1.0305612140436,1.38759736481753,0.165259684343859,0.353931157303097
"GAPDHP14",0.124049904581594,-0.739872844573266,3.06038250977364,-0.241758290739934,0.8089674594601,NA
"GAPDHP28",0.0643844264571169,0.342134923746382,3.06038250977364,0.111794823899869,0.910986091726001,NA
"GAPDHP32",0.11961499444913,-0.739872540609803,2.63665655898407,-0.280610130314007,0.779009445244444,NA
