"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"FOXP2",1.03179735513654,-0.0881569276149529,0.31109848652563,0.356580168725652,0.577367819574683
"FOXP3",0.0611415545152948,-0.0168268611131681,0.310108083884654,0.901388564855365,NA
"FOXP4",110.630256729176,0.69073832224265,0.10858440917144,3.3626467965556e-11,1.39720994738319e-09
"FOXP4-AS1",2.12036740574927,1.84529507504468,0.964281711274976,0.00287641940265792,0.0162668901671095
"FOXQ1",21.9312337441874,0.310839250162513,0.183631817552553,0.0419600649284952,0.134740854093846
"FOXR2",0.0611415545152948,-0.0168268611131681,0.310108083884654,0.901388564855365,NA
"FOXRED1",27.2718548211376,-0.0740183955191348,0.152280127377812,0.576364604922159,0.760485642432946
"FOXRED2",22.4456282914383,0.185095780799829,0.206272025084374,0.245265615510927,0.457130836967586
"FPGS",40.2524800005423,-0.112409850503926,0.152793653634414,0.397352129222073,0.616208833315893
"FPGT",9.77141803666908,-0.206754470285361,0.237640039116777,0.22006022399057,0.427199913874142
"FPR1",3.97795836771643,0.821642658423196,0.642896316825527,0.0113167000451648,0.0487932873797816
"FPR2",0.182501282530645,-0.0161050237929943,0.308280382599736,0.852299345264719,NA
"FPR3",0.551986831881754,-0.0363147453948939,0.312840962149479,0.339686373590726,0.560210040723957
"FRA10AC1",18.5281653061721,0.0850325735241524,0.190956262556976,0.574618357464163,0.75926435922
"FRAS1",23.4208343799306,0.145945066125632,0.20682704776077,0.355626895314057,0.576415618137193
"FRAT1",1.55207641888101,-0.126723484327661,0.326909661324317,0.21961662863039,0.426808510311238
"FRAT2",8.73562123562022,-0.118782216412859,0.229423630261845,0.458958084893536,0.667164585959202
"FREM2",2.40522011002311,-0.232404638178903,0.376397004042799,0.120717317897722,0.288449541629577
"FRG1",22.2820786404664,-0.190370658016579,0.19626333448642,0.220895780908227,0.428113362099961
"FRG1-DT",0.185191459096889,-0.0390790945673559,0.312457802253743,0.635726272091099,NA
"FRG1BP",12.3244511558628,-0.478474347972652,0.267501827578863,0.0160916867074878,0.0647810904804568
"FRG1FP",0.439243499421933,-0.150383804914307,0.358859212312386,0.0732197489491171,0.202173123094854
"FRG1HP",1.4087489937932,0.0479641707191447,0.293694751024669,0.650216489918278,0.809791797477315
"FRG1JP",5.45302347285253,0.0993646674884616,0.262967408603444,0.515921183853183,0.711769820020307
"FRG2B",0.061084527084684,-0.0168229451230737,0.310107765253434,0.901388564855365,NA
"FRK",1.00218563651132,0.0304335662923207,0.297497056240361,0.734208956183217,0.864016950217136
"FRMD3",13.7666252766739,-1.28368565545298,0.292380782309611,8.7605782581293e-07,1.45082702943101e-05
"FRMD4A",39.2117132482553,-0.375468184598464,0.174118596758708,0.0116256248201225,0.0499660641850916
"FRMD4B",2.57857454213551,0.324983060922123,0.485871323520092,0.0555185235404906,0.164739377741058
"FRMD5",15.5994513355852,0.279045257740567,0.237435906586227,0.108935839732941,0.26833716432619
"FRMD6",267.355274117284,-0.581006083356255,0.170964575237262,0.000133277603706922,0.00123886576305738
"FRMD6-AS1",1.67733154639483,-0.0876306510555645,0.307643903747853,0.389685811925518,0.608741523852132
"FRMD8",17.665581371024,0.12020027404185,0.190039694283655,0.428093331702606,0.642939473314781
"FRMPD1",0.061753407648813,-0.0168686632417566,0.310111494256714,0.901388564855365,NA
"FRMPD3",0.864807855374577,0.0285121768047642,0.301015196019494,0.717314758730192,0.853179141383065
"FRMPD4",0.0644362932764093,-0.0170474137057991,0.310126264296438,0.901388564855365,NA
"FRRS1",1.95358377928646,-0.154683101226922,0.322933873525691,0.246743526520178,0.458981157546626
