"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SKA2",5189.17351960507,0.455566710730415,0.0370103624389262,5.12670571009902e-35,1.74307994143367e-33
"SKA2P1",0.762308520836176,0.0807986451504452,0.468171641129221,0.672741939400226,0.770433247473616
"SKA3",3071.02105896036,-0.314303188479677,0.0419308543836623,5.32906714857855e-14,4.89718971698154e-13
"SKAP1",9.76240665093078,-0.9727522735501,0.362960865716957,0.00132849047461277,0.00355840348408415
"SKAP2",1606.89230507912,-0.424091423938109,0.0586032022036999,3.04881550121164e-13,2.59354178723624e-12
"SKI",4264.15454522194,0.15175856031743,0.0615523093029942,0.0129993266539519,0.0287860385066727
"SKIDA1",35.897845815229,0.696156395816073,0.211206995090784,0.000326222301880526,0.000970683862999125
"SKIL",2102.17754917399,-0.743218092562953,0.117968152482218,1.62026286990057e-10,1.07098579502457e-09
"SKIV2L",27.1545363702755,-0.338074598274019,0.181150529731318,0.292808020643469,0.419561532642393
"SKOR1",9.60062634765355,-0.478306313913498,0.350060767193854,0.0783330297731306,0.141054506925813
"SKP1",8968.98391279318,0.267522100896026,0.0576978966240714,3.05683154059149e-06,1.22171083410604e-05
"SKP1P1",15.9682034859258,-0.445122853103429,0.232078861676392,0.0314258650627075,0.0632100437270645
"SKP1P2",0.383098993359826,-0.215557571213607,0.562352619256748,0.236675622986858,0.355434565482043
"SKP2",1921.15619494627,1.00373625922634,0.159590634298773,6.63739935170999e-11,4.53924718295209e-10
"SLA",0.212428481696561,-0.0787014010612265,0.511651919546966,0.691141668126301,NA
"SLA2",0.598797005757157,0.0893921759026655,0.498724597716221,0.5299900123269,0.649754773301027
"SLAIN1",424.425709875611,-1.24090660129472,0.0775267210885171,1.93113665817927e-58,1.50043043889294e-56
"SLAIN2",4572.89377250042,0.154002363152974,0.0295752836529055,1.8624381448569e-07,8.6835775029485e-07
"SLAMF1",0.25018118950643,-0.0097120120391071,0.492615508690994,0.984693666925532,NA
"SLAMF6P1",0.588763193069009,-0.328330577182424,0.625484151426868,0.102744060916082,0.178212256530941
"SLAMF7",300.029803780478,-0.813434610866057,0.0857170562373406,6.58622105565639e-22,1.12054268426749e-20
"SLAMF8",41.0215349687574,-3.15635151744257,0.246176034274688,1.24180137417164e-38,4.98620320427648e-37
"SLAMF9",0.901021328169102,-1.27030153921357,3.12218549226441,0.0148761419517717,0.0324705725516287
"SLBP",3820.69725036981,0.604932132174147,0.0927213663323518,3.12481188147539e-11,2.21282829804884e-10
"SLC10A1",0.0727639851100597,0.0437942552637391,0.505607222685307,0.91566044623421,NA
"SLC10A3",937.048220337993,0.136888277539656,0.0723005407281602,0.055766353802273,0.104912890431164
"SLC10A4",2.90863701065369,-0.148036847444901,0.377025851141928,0.565326749500829,0.680943688007329
"SLC10A5",23.6821904813323,-0.309387787755692,0.213629901186572,0.108759304270681,0.186883652416255
"SLC10A5P1",0.178476148826715,0.0643009963808538,0.509113119092872,0.732648636756839,NA
"SLC10A6",1.62903501237539,-0.0843498883733429,0.427403355578401,0.719459135433104,0.806216781880208
"SLC10A7",390.841280878695,-0.323091808150356,0.0730674740937797,7.60148348707608e-06,2.88178840248109e-05
"SLC11A1",1.41619451544564,-0.0707649012151823,0.456894248298989,0.729532482176878,0.813818383942921
"SLC11A2",2026.79895662351,0.186675921913981,0.0433479610202008,1.54463095008788e-05,5.61624117171049e-05
"SLC12A1",0.356391936998951,-0.148086270098968,0.53132845006277,0.35736655821419,0.489171472739668
"SLC12A2",1797.1881628859,0.234620540593431,0.0657535480791315,0.000318030664607966,0.00094827597169474
"SLC12A3",0.182952146131107,-0.0246570132422709,0.500880517769191,0.892432312698334,NA
"SLC12A4",1700.14048679621,-0.0522011389407713,0.0576380988615806,0.361604642756569,0.493153952965137
"SLC12A5",18.6599529869864,-0.197787817484143,0.223727755754952,0.322737336636845,0.452977237452601
"SLC12A5-AS1",1.28450248631831,0.142194500047305,0.454957061203336,0.531061287027551,0.650882745979895
"SLC12A6",646.413258562915,-0.334843479749569,0.0646222570887141,1.69817890702871e-07,7.95563918961078e-07
"SLC12A7",929.984351284516,0.703207873093674,0.0447409306491708,4.23755027782155e-56,3.1020597646012e-54
"SLC12A8",265.717175137234,1.00734844445407,0.0786005623341362,2.83390416928625e-38,1.11095237762074e-36
"SLC12A9",451.444020715597,0.450957632759932,0.0911305008508399,4.68552937821242e-07,2.07664669023657e-06
"SLC12A9-AS1",2.69189662916188,0.260262600522928,0.436277089595905,0.330694025515434,0.461665388339545
"SLC13A1",0.061730048261101,-0.0446977888220455,0.505789415717126,0.896724118835333,NA
"SLC13A2",0.384388728632849,-0.152490502841413,0.533562907572838,0.323848753679478,0.454211331162576
"SLC13A3",21.9279353374124,0.385270750029763,0.1879057389397,0.0270510210372303,0.0553993790810991
"SLC13A4",0.730718822154138,0.0558358617975292,0.481831325901412,0.722875720672283,0.808782036822046
"SLC14A1",44.8794691933926,-1.16697364364494,0.170705868927612,1.3547176602449e-12,1.08670270159489e-11
"SLC14A2",0.744418847999577,-0.515860287529565,0.778738872854261,0.0529283231227167,0.100195564275408
"SLC15A1",3.42146702360669,0.0583483029635037,0.379921335792788,0.818069578472772,0.879489158693791
"SLC15A2",5.45834339331392,-0.691725970958376,0.48896956489684,0.036756722415491,0.0726226181792157
"SLC15A3",172.644840768566,-0.123147200358051,0.0857651859839403,0.144948541288395,0.238081546638849
"SLC15A4",873.891348040501,0.0992047951290233,0.0456876068956865,0.0292680441147391,0.0593188478611371
"SLC16A1",59.2566946167558,-4.28514127784433,0.552439758881124,5.22681584367426e-16,5.72767467350088e-15
"SLC16A1-AS1",0.387579604533927,-0.00765895127679672,0.48501065829301,0.981759530831903,0.990102107052845
"SLC16A10",46.5067288167392,1.10470835846141,0.180558519707718,1.60871500746167e-10,1.06367939756037e-09
"SLC16A11",0.0614513717597115,0.0418970842006573,0.505366330814062,0.91566044623421,NA
"SLC16A12",32.3243225684905,-0.801663314531745,0.23158781454416,0.000144556447836343,0.000454513348478274
"SLC16A12-AS1",0.21329254180211,0.0762239132987246,0.511178072932221,0.644730690583341,NA
"SLC16A13",124.328348602861,-0.336956162107622,0.144341932671421,0.0145501528334728,0.0318304929133973
"SLC16A14",22.1040539622837,-0.149310905314846,0.212141856889069,0.43655347435689,0.564939202399675
"SLC16A2",441.079941100889,-0.297236852308745,0.0815409454115034,0.00021552032005767,0.000658587012392614
"SLC16A3",8068.66295232806,0.40059329567316,0.0784566702797294,2.30456653628262e-07,1.06048494748503e-06
"SLC16A4",19.1262922940178,-0.153587013790229,0.205517519465859,0.412919052763385,0.543039648858757
"SLC16A5",405.453849417438,-0.305848459311853,0.0681729588935163,5.85398034703754e-06,2.25625653705125e-05
"SLC16A6",47.2555504249634,-1.84018770158773,0.267613665997858,5.74740287409989e-13,4.73566633447082e-12
"SLC16A6P1",1.44538387625728,-0.150426552706901,0.452622402220484,0.518775685316259,0.640090024615979
"SLC16A7",1091.26214045657,-0.733455773560063,0.0920846612411956,5.67848628608444e-16,6.21313583371171e-15
"SLC16A9",21.8189980781701,-2.70041283873964,0.319287123494423,2.76309305615017e-18,3.65278186452482e-17
"SLC17A2",0.247290134901478,-0.0851052376212976,0.513234945949477,0.585461852472288,NA
"SLC17A5",1751.15228973594,0.239944889676136,0.091687886948282,0.00774188065331549,0.0180599127921804
"SLC17A6",0.123460096522202,-0.0591938400586672,0.508028946485256,0.804404027940697,NA
"SLC17A7",2.02343669914734,0.139161285772613,0.435685793478961,0.560980743516019,0.677445155535392
"SLC17A8",0.412128528963047,-0.149356035947844,0.522375910968223,0.358583661219509,0.490276193174911
"SLC17A9",2593.21517114579,0.156175957193089,0.112745106306367,0.155345041343954,0.252136951719802
"SLC18A1",0.122491303566397,-0.0590893174906915,0.508006909659069,0.804404027940697,NA
"SLC18A2",0.193325529384078,-0.0369291775328668,0.499461254464102,0.866463544892466,NA
"SLC18B1",464.480146823209,0.0987309995456614,0.0562153909422779,0.0772233377893634,0.139312713822521
"SLC19A1",0.665924116539335,0.241649553312752,0.556045010572581,0.182379391253551,0.287179489212681
"SLC19A2",973.032110545953,0.0671910517284121,0.0670346051520824,0.312344289360289,0.441702726566275
"SLC19A3",8.44348870416191,-0.674102015721193,0.338895982032518,0.0146756499499787,0.0320724348317872
"SLC1A1",153.808894378383,-0.792743661788668,0.107842286231047,5.85945450564607e-14,5.37312227824945e-13
"SLC1A2",4.36293132227979,0.414344825524224,0.510010208948083,0.154779019716573,0.25136991113342
"SLC1A3",412.057827576764,2.90049635242748,0.121136628709468,5.61632149300503e-128,2.0145745195409e-125
"SLC1A4",1058.53361721036,-1.67306667713198,0.160201639452769,1.54465267020143e-26,3.4701476793398e-25
"SLC1A5",10017.3614844794,-0.791838465648147,0.131692752505408,5.40509512759286e-10,3.38459288146796e-09
"SLC1A6",0.0755974547119264,-0.0469170771402591,0.506094605048171,0.896724118835333,NA
"SLC1A7",18.5521237617419,1.01166417705082,0.251938695732866,1.20546090025046e-05,4.44169311679342e-05
"SLC20A1",16707.4062123711,-0.65019504981008,0.0749961757352831,1.71068481251948e-18,2.29964762867235e-17
"SLC20A2",947.948776986185,-0.0612964801961478,0.0451400476534262,0.172509668366183,0.274287314020167
"SLC22A1",4.28205587498644,-0.34864349583581,0.407644748408629,0.213010698230482,0.325991342339218
"SLC22A13",3.95093823746577,0.0840255861367502,0.395147247627071,0.737690211525404,0.819985989693717
"SLC22A14",2.15175136552036,-0.406736521660375,0.527347684205921,0.15906308675685,0.256885635904164
"SLC22A15",666.691386377035,-2.27330076591285,0.223045112571121,1.56457496249788e-25,3.28835765067181e-24
"SLC22A16",0.0689615023825645,-0.0459127861331216,0.505952902862308,0.896724118835333,NA
"SLC22A17",0.129352815830787,-0.0597868741057606,0.508155735301169,0.804404027940697,NA
"SLC22A18",56.8713080269955,-0.195527247760428,0.118631005126383,0.0893499015808691,0.157906764807314
"SLC22A18AS",32.6115427212662,-2.8771004982437,0.321957481564944,2.91710504722492e-20,4.42437877564305e-19
"SLC22A2",0.870960774751919,1.62204634613669,2.28893157021179,0.01289110298034,0.0285846196520582
"SLC22A20P",9.93385400393114,0.671590360867333,0.383742659258072,0.0231913195182454,0.0482758079767558
"SLC22A23",95.7348505240054,4.69645083607942,0.212051525627818,5.33172415863536e-109,1.28931873418146e-106
"SLC22A3",449.892150396776,-0.530031841907183,0.108463004689232,5.37565889553602e-07,2.36449889126765e-06
"SLC22A31",9.26463459890773,0.106696400394177,0.296778554898293,0.658983354656707,0.760276537478516
"SLC22A4",334.482490649175,-0.565742550540945,0.0730528314642431,4.79450378161117e-15,4.86962295364963e-14
"SLC22A5",582.564056639806,0.502045119792175,0.0673104531642557,4.91224140189373e-14,4.53155848485028e-13
"SLC23A1",2.27851576618747,0.0524623997358145,0.399509570935096,0.83172092111364,0.888660957365227
"SLC23A2",1845.36992571589,0.179730126668571,0.096246067817488,0.0575174567490342,0.10777387290203
"SLC23A3",31.8209622623264,-0.0106994973830737,0.201992309458742,0.952972839128705,0.973231538565436
"SLC23A4P",0.241334267473135,0.116087521790909,0.519465987057888,0.529892193124983,NA
"SLC24A1",363.507660814183,-0.605422310832802,0.0748118327341667,2.84619602296352e-16,3.18377498992832e-15
"SLC24A2",3.82939962506719,-1.76335570785416,0.749186525735693,0.00130643887505151,0.00350500841047851
"SLC24A3",1.40537762067751,0.946271980395717,1.13182311746125,0.0275401092616161,0.0562885310093544
"SLC24A4",1.65252955211841,0.76241564868202,0.853579034085971,0.0429068862622676,0.0832154641918107
"SLC24A5",0.280515805785635,-0.0690309669332953,0.502893257223187,0.729136955845412,NA
"SLC25A1",1230.68044060459,0.647160604535165,0.0621560991734351,9.28828603267906e-26,1.9831596428107e-24
"SLC25A10",1166.38013915042,0.653829137889204,0.0990754933916673,1.68758881452764e-11,1.22911290917983e-10
"SLC25A11",1420.80372177807,-0.128006915333868,0.0476253797456868,0.00694368106619182,0.0163700190499047
"SLC25A12",867.075061657258,0.421964487999809,0.0569069628973883,8.11115078775646e-14,7.33171723032736e-13
"SLC25A13",1961.93665645917,0.320725292073156,0.0419325048955634,1.61210035640671e-14,1.55446343506206e-13
"SLC25A14",290.724431371549,0.164283154054451,0.0737419749845704,0.0243586370833814,0.0503937890328304
"SLC25A14P1",0.181723923560282,-0.0390300089426018,0.499945558822204,0.868602497257963,NA
"SLC25A15",851.112029379067,-0.113107366730195,0.046904889113141,0.0153950055064274,0.0334515506089949
"SLC25A16",625.575389819885,0.169488040344456,0.0513474186830255,0.000903943115009469,0.00249163213642851
"SLC25A17",991.191478346905,0.294164287654203,0.0487914536316345,1.34729563923672e-09,8.09505771849602e-09
"SLC25A18",1.16043230528305,-0.141634639029935,0.480992679245924,0.477441803265212,0.602421439284394
"SLC25A19",433.87659188462,-0.252147199439731,0.0556696472337859,5.10719530516568e-06,1.9822733518084e-05
"SLC25A1P3",0.298384041796888,0.135309846851953,0.525958649221998,0.433962795695123,NA
"SLC25A1P5",0.0614513717597115,0.0418970842006573,0.505366330814062,0.91566044623421,NA
"SLC25A2",0.0594920496089048,0.0415317049401764,0.505322299238698,0.91566044623421,NA
"SLC25A20",448.661569583352,-0.472707611297734,0.139393527004352,0.000403484302061131,0.00118323874491888
"SLC25A21",12.9152340143921,-0.00301711417137046,0.252909597244111,0.9879192343759,0.992410022215531
"SLC25A21-AS1",59.8389690433142,-1.61141549245002,0.213559367427175,4.67907122849188e-15,4.75911961151239e-14
"SLC25A22",2043.20812795054,0.101252216695439,0.0449871246204192,0.0239967520723391,0.0497024442402928
"SLC25A23",2583.65874285369,0.0100811872387361,0.0627030434648995,0.872959440282301,0.915407965004662
"SLC25A24",7308.48192551291,0.387887543910555,0.054842107122499,1.11610551281548e-12,8.99993362563312e-12
"SLC25A24P1",0.122765862573615,-0.00755184710839117,0.500766459440397,0.990466079645651,NA
"SLC25A24P2",0.1859492683309,-0.0329360640854452,0.499164665731572,0.867810039849403,NA
"SLC25A25",1072.6768522811,-0.492663392549373,0.100991298992888,4.7143682899642e-07,2.08684973954359e-06
"SLC25A25-AS1",195.802399963523,-0.219881577274699,0.199525872796771,0.228499586559922,0.345470186297341
"SLC25A26",509.009783493797,-0.199027175860297,0.0636051594745973,0.00160220390709138,0.00423879932248565
"SLC25A27",220.185909000534,0.511595827959831,0.138632720997911,0.000121367778680672,0.000386516326245254
"SLC25A28",790.164429975599,0.097627406562626,0.0916625018497757,0.278603870793668,0.403697065052268
"SLC25A29",739.967810925483,0.255644949633063,0.107519566696041,0.0148405483949253,0.0323999069340212
"SLC25A3",21038.8649527296,-0.0706462571672601,0.0344069998769914,0.0995944743670669,0.173455569968077
